,alcohol,volatile acidity,free sulfur dioxide,density,total sulfur dioxide,pH,fixed acidity,residual sugar,sulphates,quality
1182,11.4,0.22,31.0,0.9931,101.0,3.42,7.4,2.0,0.55,5.0
1183,10.6,0.26,33.0,0.992,134.0,3.21,6.4,2.2,0.47,6.0
1184,12.8,0.46,40.0,0.9912,138.0,3.18,7.9,4.1,0.44,7.0
1185,8.9,0.41,65.0,0.9978,225.0,3.12,6.5,11.8,0.51,5.0
1186,9.3,0.32,22.0,0.9938,184.0,3.09,7.5,1.2,0.43,5.0
1187,11.1,0.21,40.0,0.9914,104.0,3.25,6.6,2.2,0.4,8.0
1188,9.9,0.21,45.0,0.9932,143.0,3.13,7.1,1.4,0.33,6.0
1189,9.6,0.26,5.0,0.9944,55.0,3.1,7.6,1.6,0.45,5.0
1190,12.8,0.21,10.0,0.9913,119.0,3.01,7.6,1.9,0.7,6.0
1191,10.7,0.25,36.0,0.9948,135.0,3.16,6.9,5.2,0.72,7.0
1192,9.2,0.26,29.0,0.998,107.0,2.96,7.1,14.45,0.42,6.0
1193,9.1,0.22,44.5,0.9998,129.5,3.36,7.3,14.75,0.41,7.0
1194,9.6,0.37,36.0,0.9964,216.0,3.33,6.2,8.3,0.6,6.0
1195,9.2,0.22,53.0,0.9992,141.0,3.03,7.9,14.2,0.46,6.0
1196,10.7,0.25,36.0,0.9948,135.0,3.16,6.9,5.2,0.72,7.0
1197,9.1,0.22,44.5,0.9998,129.5,3.36,7.3,14.75,0.41,7.0
1198,9.2,0.26,29.0,0.998,107.0,2.96,7.1,14.45,0.42,6.0
1199,10.7,0.25,14.0,0.9939,93.0,3.0,7.4,6.9,0.48,7.0
1200,10.8,0.18,37.0,0.992,93.0,3.3,6.8,1.5,0.45,6.0
1201,10.8,0.17,26.0,0.9922,75.0,3.3,7.0,1.5,0.46,7.0
1202,9.0,0.3,35.0,0.9955,192.0,3.1,6.4,7.8,0.37,5.0
1203,10.7,0.33,10.0,0.9917,97.0,3.48,5.0,1.5,0.44,6.0
1204,10.7,0.33,10.0,0.9917,97.0,3.48,5.0,1.5,0.44,6.0
1205,9.4,0.33,11.0,0.9954,200.0,3.19,8.9,1.5,0.46,5.0
1206,8.8,0.26,61.0,0.9986,171.0,2.94,7.0,15.55,0.35,6.0
1207,9.0,0.3,35.0,0.9955,192.0,3.1,6.4,7.8,0.37,5.0
1208,11.5,0.21,48.0,0.9917,134.0,3.42,6.3,1.7,0.49,6.0
1209,12.5,0.23,30.0,0.9907,125.0,3.23,8.0,1.5,0.47,6.0
1210,10.5,0.28,14.0,0.9922,59.0,2.96,9.2,1.0,0.25,6.0
1211,9.7,0.27,28.0,0.9958,188.0,3.29,7.3,6.7,0.3,5.0
1212,11.3,0.32,32.0,0.993,155.0,3.23,7.6,1.6,0.52,6.0
1213,10.7,0.33,10.0,0.9917,97.0,3.48,5.0,1.5,0.44,6.0
1214,10.8,0.24,11.0,0.9926,59.0,2.74,9.7,1.2,0.47,6.0
1215,10.6,0.28,41.0,0.9959,169.0,3.17,8.0,7.1,0.43,5.0
1216,11.7,0.37,17.0,0.9906,93.0,3.04,8.2,1.0,0.32,8.0
1217,9.2,0.61,24.0,0.9993,220.0,2.94,8.0,12.1,0.48,5.0
1218,11.1,0.26,25.0,0.993,126.0,3.02,7.2,7.1,0.34,8.0
1219,11.7,0.37,17.0,0.9906,93.0,3.04,8.2,1.0,0.32,8.0
1220,11.0,0.23,15.5,0.992,217.5,3.33,6.4,1.15,0.44,6.0
1221,12.5,0.4,50.0,0.992,127.0,3.51,5.9,6.0,0.58,7.0
1222,10.0,0.28,21.0,0.994,115.0,3.16,7.6,1.2,0.67,6.0
1223,10.6,0.28,41.0,0.9959,169.0,3.17,8.0,7.1,0.43,5.0
1224,12.3,0.23,29.0,0.9908,102.0,3.26,7.2,2.3,0.54,7.0
1225,12.7,0.32,19.0,0.9902,87.0,3.14,6.8,3.4,0.53,6.0
1226,12.3,0.23,29.0,0.9908,102.0,3.26,7.2,2.3,0.54,7.0
1227,10.5,0.18,20.0,0.9943,110.0,3.1,6.9,6.5,0.42,5.0
1228,12.5,0.26,25.0,0.9921,109.0,3.23,9.4,1.2,0.28,6.0
1229,12.4,0.33,18.0,0.9911,96.0,3.2,8.3,1.15,0.32,3.0
1230,8.7,0.29,46.0,0.9986,238.0,3.06,7.3,13.0,0.41,6.0
1231,12.4,0.41,40.0,0.992,114.0,3.17,7.9,4.5,0.54,7.0
1232,12.6,0.44,27.0,0.992,93.0,3.16,7.9,5.85,0.54,7.0
1233,11.0,0.39,29.0,0.9943,131.0,3.38,7.7,5.2,0.44,6.0
1234,10.1,0.26,47.0,0.9937,155.0,3.42,7.7,1.3,0.5,6.0
1235,10.5,0.32,46.0,0.993,195.0,3.03,7.8,1.7,0.48,5.0
1236,12.7,0.32,19.0,0.9902,87.0,3.14,6.8,3.4,0.53,6.0
1237,10.9,0.24,35.0,0.9928,116.0,3.17,7.3,3.6,0.51,5.0
1238,13.5,0.44,35.0,0.9896,128.0,3.07,7.1,2.7,0.43,7.0
1239,9.7,0.25,28.0,0.998,164.0,3.19,10.3,2.2,0.59,5.0
1240,9.2,0.14,44.0,0.9954,178.0,3.45,7.9,1.8,0.43,6.0
1241,10.6,0.18,33.0,0.9938,187.0,3.4,7.4,2.1,0.41,7.0
1242,13.3,0.43,36.0,0.9918,141.0,2.98,8.1,6.6,0.39,7.0
1243,13.5,0.44,35.0,0.9896,128.0,3.07,7.1,2.7,0.43,7.0
1244,10.1,0.26,23.0,0.9944,131.0,3.29,6.4,5.1,0.32,5.0
1245,9.4,0.66,62.0,0.9999,233.0,2.92,8.0,17.55,0.68,4.0
1246,10.6,0.2,41.0,0.9953,167.0,3.18,8.0,5.2,0.4,7.0
1247,11.3,0.21,25.0,0.992,80.0,3.25,7.2,1.1,0.4,6.0
1248,10.8,0.18,20.0,0.9925,73.0,3.32,7.2,1.1,0.4,7.0
1249,10.4,0.57,46.0,0.9981,195.0,3.15,8.4,10.7,0.51,5.0
1250,10.5,0.26,48.0,0.9952,160.0,3.82,5.3,5.15,0.51,7.0
1251,9.3,0.245,28.0,0.9927,150.0,3.13,5.7,1.1,0.42,5.0
1252,9.3,0.245,24.0,0.9927,152.0,3.12,5.6,1.1,0.42,6.0
1253,12.2,0.25,52.0,0.9911,165.0,3.29,7.3,1.8,0.39,7.0
1254,9.2,0.16,58.0,0.9936,150.0,3.08,7.0,1.0,0.3,5.0
1255,10.3,0.22,29.0,0.9959,104.0,3.81,6.4,1.8,0.57,6.0
1256,9.4,0.18,28.0,0.9946,157.0,3.33,7.3,1.4,0.62,6.0
1258,9.0,0.29,65.0,0.9955,212.0,3.08,6.9,6.8,0.39,6.0
1259,9.3,0.21,64.0,0.9951,245.0,3.06,6.2,6.8,0.36,6.0
1260,9.2,0.23,63.0,0.9952,236.0,3.06,6.4,7.1,0.34,6.0
1261,9.4,0.19,31.0,0.9946,156.0,3.32,7.3,1.5,0.64,6.0
1262,9.4,0.18,28.0,0.9946,157.0,3.33,7.3,1.4,0.62,6.0
1263,9.5,0.29,77.5,0.9944,223.0,2.92,9.6,1.45,0.46,6.0
1264,9.9,0.14,15.0,0.9938,73.0,3.46,7.2,1.2,0.39,5.0
1265,11.1,0.31,36.0,0.9963,174.0,3.46,6.9,7.4,0.62,7.0
1266,12.3,0.28,36.0,0.991,116.0,2.99,7.5,4.2,0.41,8.0
1267,8.6,0.22,45.0,1.0003,163.0,3.21,8.0,14.6,0.69,7.0
1268,9.4,0.31,21.0,0.9966,145.0,3.04,7.6,10.5,0.35,5.0
1269,9.4,0.35,55.0,0.9993,190.0,3.07,8.4,13.8,0.58,6.0
1270,8.6,0.22,45.0,1.0003,163.0,3.21,8.0,14.6,0.69,7.0
1271,10.9,0.5,23.0,0.9938,126.0,3.21,8.1,1.1,0.42,5.0
1272,9.4,0.39,32.0,0.9965,162.0,3.2,7.0,5.3,0.48,5.0
1273,10.9,0.5,23.0,0.9938,126.0,3.21,8.1,1.1,0.42,5.0
1274,9.4,0.35,55.0,0.9993,190.0,3.07,8.4,13.8,0.58,6.0
1275,9.2,0.22,20.0,0.9938,132.0,3.22,6.2,1.5,0.46,6.0
1276,8.6,0.22,45.0,1.0003,163.0,3.21,8.0,14.6,0.69,7.0
1277,9.4,0.31,21.0,0.9966,145.0,3.04,7.6,10.5,0.35,5.0
1278,10.8,0.24,10.0,0.9942,133.0,3.33,7.0,4.9,0.37,6.0
1279,10.5,0.27,14.0,0.9928,153.0,3.29,6.6,1.9,0.62,6.0
1280,12.5,0.16,29.0,0.991,140.0,3.02,7.8,1.7,0.78,6.0
1281,12.1,0.27,26.0,0.9911,168.0,2.99,7.7,1.8,0.48,7.0
1282,8.7,0.31,51.0,0.9977,147.0,3.02,7.4,10.7,0.43,5.0
1283,12.7,0.45,50.0,0.9927,151.0,3.07,8.0,8.8,0.25,8.0
1284,12.1,0.27,26.0,0.9911,168.0,2.99,7.7,1.8,0.48,7.0
1285,12.5,0.16,29.0,0.991,140.0,3.02,7.8,1.7,0.78,6.0
1286,11.4,0.16,40.0,0.9912,147.0,3.06,6.6,1.8,0.44,7.0
1287,12.9,0.21,35.0,0.9907,110.0,3.02,8.3,1.6,0.6,7.0
1288,12.8,0.32,29.0,0.9902,109.0,3.15,7.2,1.4,0.51,7.0
1289,11.2,0.16,15.0,0.992,78.0,3.38,6.6,1.6,0.44,6.0
1290,9.7,0.16,16.0,0.994,98.0,3.14,8.4,1.5,0.42,6.0
1291,9.7,0.23,54.0,0.9966,191.0,3.04,7.5,9.2,0.56,6.0
1292,10.3,0.17,14.0,0.993,79.0,3.5,6.2,1.1,0.54,6.0
1293,11.6,0.39,10.0,0.993,102.0,3.0,6.9,4.3,0.87,4.0
1294,11.6,0.41,10.0,0.993,102.0,3.0,6.9,4.2,0.86,4.0
1295,9.7,0.23,54.0,0.9966,191.0,3.04,7.5,9.2,0.56,6.0
1296,10.9,0.38,30.0,0.9942,131.0,3.32,7.5,5.0,0.44,6.0
1297,12.6,0.42,29.0,0.9925,122.0,3.19,7.3,6.8,0.37,7.0
1298,12.4,0.34,45.0,0.9925,163.0,3.3,7.3,5.2,0.47,6.0
1299,11.5,0.23,45.0,0.9928,166.0,2.96,7.8,4.75,0.4,5.0
1300,10.2,0.245,52.0,0.995,159.0,2.93,9.0,5.9,0.35,6.0
1301,11.4,0.2,51.0,0.9939,176.0,3.22,6.9,7.7,0.27,5.0
1302,9.6,0.19,39.0,0.9958,212.0,3.3,7.4,6.4,0.33,6.0
1303,10.3,0.2,60.0,0.9952,163.0,3.05,8.2,8.1,0.3,6.0
1304,9.3,0.59,61.0,1.0,228.0,2.95,8.0,17.35,0.75,5.0
1305,10.7,0.14,17.0,0.9948,114.0,3.33,7.9,1.8,0.49,7.0
1306,12.8,0.24,34.0,0.99,105.0,3.13,6.8,1.8,0.49,8.0
1307,9.5,0.14,23.0,0.9958,142.0,2.98,9.7,1.5,0.62,5.0
1308,10.4,0.15,22.0,0.9948,130.0,3.02,9.2,1.6,0.45,6.0
1309,10.3,0.17,14.0,0.9949,94.0,3.02,9.4,1.6,0.61,6.0
1310,9.9,0.365,37.0,0.997,142.0,3.46,5.2,13.5,0.39,6.0
1311,10.7,0.23,37.0,0.9927,116.0,3.23,6.3,3.75,0.5,6.0
1312,10.5,0.25,16.0,0.9938,160.0,2.94,9.6,1.3,0.43,5.0
1313,9.6,0.32,14.0,0.9949,186.0,3.08,9.2,1.3,0.48,5.0
1314,9.3,0.31,46.0,0.9953,169.0,3.15,6.4,6.2,0.46,6.0
1315,10.0,0.2,63.0,0.997,162.0,3.1,8.1,9.7,0.46,6.0
1316,11.2,0.255,40.0,0.9932,190.0,3.04,7.9,2.0,0.39,6.0
1317,10.8,0.15,21.0,0.9927,177.0,3.32,7.0,1.4,0.62,5.0
1318,10.3,0.15,25.0,0.9932,96.0,3.54,6.4,1.1,0.51,6.0
1319,8.8,0.25,59.0,0.9955,234.0,3.03,6.4,6.6,0.42,5.0
1320,12.8,0.19,6.0,0.9914,114.0,3.04,7.6,1.5,0.74,6.0
1321,13.2,0.43,17.0,0.991,114.0,3.23,7.3,4.6,0.43,6.0
1322,10.1,0.31,28.0,0.992,152.0,3.54,5.1,0.9,0.56,6.0
1323,11.0,0.2,40.0,0.9924,161.0,3.44,6.2,1.7,0.66,5.0
1324,10.8,0.16,21.0,0.9927,182.0,3.25,6.9,1.3,0.62,6.0
1325,12.8,0.32,28.0,0.9911,114.0,3.2,7.7,2.3,0.52,7.0
1326,9.2,0.22,33.0,0.9958,168.0,3.12,6.5,6.8,0.36,6.0
1327,10.5,0.26,44.0,0.9928,167.0,3.12,6.8,1.5,0.44,6.0
1328,11.7,0.37,13.0,0.9902,81.0,3.37,5.2,1.2,0.38,6.0
1329,9.5,0.19,20.0,0.994,104.0,2.85,8.4,2.1,0.46,5.0
1330,9.5,0.21,24.0,0.994,108.0,2.85,8.3,2.2,0.45,5.0
1331,8.8,0.15,24.0,0.9972,110.0,3.4,6.8,8.8,0.4,6.0
1332,9.3,0.16,69.0,1.0004,210.0,3.15,7.9,17.0,0.51,7.0
1333,12.6,0.21,62.0,0.991,180.0,3.09,7.8,1.8,0.75,8.0
1334,12.4,0.24,26.0,0.9918,107.0,3.21,9.0,1.2,0.34,6.0
1335,10.1,0.21,60.0,0.995,189.0,3.65,5.7,2.3,0.72,6.0
1336,11.2,0.29,38.0,0.9941,161.0,3.26,7.8,7.0,0.37,8.0
1337,10.0,0.18,40.0,0.9956,251.0,3.29,6.7,6.4,0.52,5.0
1338,10.0,0.18,40.0,0.9956,251.0,3.29,6.7,6.4,0.52,5.0
1339,10.8,0.58,37.0,0.9959,116.0,2.99,8.4,12.15,0.39,6.0
1340,10.0,0.16,50.0,0.9922,121.0,3.27,7.2,0.8,0.33,6.0
1341,10.4,0.54,13.0,0.9931,151.0,3.04,7.6,2.0,0.33,5.0
1342,10.8,0.58,37.0,0.9959,116.0,2.99,8.4,12.15,0.39,6.0
1343,9.8,0.25,52.0,0.9984,181.0,3.51,6.6,12.4,0.47,6.0
1344,12.2,0.23,51.0,0.9908,165.0,3.26,7.3,1.9,0.4,8.0
1345,12.7,0.39,36.0,0.991,113.0,3.39,7.3,1.1,0.48,8.0
1346,12.2,0.46,46.0,0.9928,163.0,3.21,7.0,6.2,0.35,7.0
1347,11.9,0.35,35.0,0.9936,162.0,3.15,8.2,6.3,0.34,7.0
1348,11.2,0.29,38.0,0.9941,161.0,3.26,7.8,7.0,0.37,8.0
1349,10.4,0.35,15.0,0.9924,61.0,2.96,9.2,0.9,0.28,4.0
1350,12.8,0.57,22.0,0.9917,122.0,3.29,8.0,3.9,0.67,7.0
1351,12.7,0.37,40.0,0.9906,130.0,3.28,6.5,3.9,0.39,7.0
1352,10.1,0.21,60.0,0.995,189.0,3.65,5.7,2.3,0.72,6.0
1353,10.0,0.18,40.0,0.9956,251.0,3.29,6.7,6.4,0.52,5.0
1354,9.0,0.13,43.0,0.9955,179.0,3.43,7.8,1.8,0.41,5.0
1355,11.4,0.19,38.0,0.9907,143.0,2.92,7.6,1.1,0.42,5.0
1356,8.9,0.22,55.0,1.0,191.0,3.32,7.3,15.4,0.59,6.0
1357,9.3,0.29,43.0,0.9953,167.0,3.15,6.3,6.5,0.44,6.0
1358,12.0,0.35,35.0,0.9911,103.0,3.28,6.8,2.4,0.46,8.0
1359,10.8,0.19,31.0,0.9922,132.0,3.36,6.5,1.4,0.54,7.0
1360,10.5,0.12,56.0,0.9951,158.0,3.52,6.2,5.7,0.37,6.0
1361,10.6,0.13,56.0,0.9948,189.5,3.59,6.0,5.7,0.43,7.0
1362,11.3,0.25,42.0,0.9906,115.0,3.19,6.4,1.4,0.48,7.0
1363,9.5,0.32,15.0,0.994,96.0,3.22,6.9,1.4,0.38,4.0
1364,11.4,0.19,38.0,0.9907,143.0,2.92,7.6,1.1,0.42,5.0
1365,10.1,0.13,35.0,0.9927,140.0,3.33,6.7,1.2,0.33,7.0
1366,10.9,0.14,22.0,0.9914,95.0,3.25,7.0,0.9,0.43,6.0
1367,8.9,0.27,19.0,0.9958,115.0,3.15,7.6,3.8,0.45,5.0
1368,8.9,0.22,55.0,1.0,191.0,3.32,7.3,15.4,0.59,6.0
1369,9.3,0.64,42.0,0.9984,185.0,2.9,7.4,14.15,0.49,5.0
1370,10.4,0.28,23.0,0.9941,116.0,3.25,7.6,1.9,0.4,6.0
1371,12.0,0.26,41.0,0.9944,162.0,3.1,8.3,9.2,0.38,7.0
1372,9.5,0.22,37.0,0.998,181.0,2.87,10.7,8.2,0.68,6.0
1373,9.5,0.22,37.0,0.998,181.0,2.87,10.7,8.2,0.68,6.0
1374,12.4,0.23,24.0,0.9902,121.0,3.14,6.9,2.7,0.38,7.0
1375,11.2,0.3,30.0,0.9911,130.0,3.28,6.2,1.7,0.41,7.0
1376,11.4,0.27,6.0,0.9929,134.0,3.15,6.9,1.7,0.69,6.0
1377,11.4,0.28,10.0,0.993,136.0,3.16,6.9,1.7,0.71,6.0
1378,11.1,0.28,46.0,0.9918,132.0,3.35,6.9,1.6,0.38,7.0
1379,10.4,0.46,5.0,0.992,126.0,3.1,6.9,0.9,0.42,6.0
1380,12.0,0.38,36.0,0.9932,152.0,3.38,6.9,8.5,0.35,7.0
1381,12.3,0.43,24.0,0.992,98.0,3.54,5.7,5.7,0.61,7.0
1382,9.1,0.56,28.0,0.994,92.0,3.12,6.6,3.1,0.35,6.0
1383,10.5,0.36,25.0,0.9923,102.0,3.24,7.1,1.3,0.33,6.0
1384,11.4,0.23,5.0,0.993,133.0,3.23,6.8,1.6,0.7,6.0
1385,9.5,0.33,26.0,0.9956,138.0,3.77,6.2,1.3,0.64,5.0
1386,13.7,0.49,17.0,0.9907,116.0,3.42,5.6,4.5,0.9,7.0
1387,13.4,0.42,15.0,0.99,85.0,3.28,6.6,2.8,0.51,6.0
1388,11.3,0.18,12.0,0.9918,143.0,3.2,7.3,1.2,0.48,7.0
1389,10.0,0.19,73.0,0.9926,180.0,3.06,8.1,0.9,0.34,6.0
1390,10.1,0.19,33.0,0.995,123.0,3.49,5.9,7.4,0.42,6.0
1391,12.2,0.16,23.0,0.99,81.0,3.26,6.2,1.4,0.42,6.0
1392,13.4,0.42,15.0,0.99,85.0,3.28,6.6,2.8,0.51,6.0
1393,9.3,0.135,19.0,0.9946,101.0,3.31,5.7,4.6,0.42,6.0
1394,13.7,0.49,17.0,0.9907,116.0,3.42,5.6,4.5,0.9,7.0
1395,12.3,0.19,27.0,0.9898,98.0,3.09,6.9,1.6,0.46,7.0
1396,11.3,0.18,12.0,0.9918,143.0,3.2,7.3,1.2,0.48,7.0
1397,8.9,0.25,35.0,0.9986,200.0,3.04,7.3,13.1,0.46,7.0
1398,8.9,0.25,35.0,0.9986,200.0,3.04,7.3,13.1,0.46,7.0
1399,11.5,0.2,32.0,0.9928,83.0,3.19,7.0,5.7,0.46,6.0
1400,8.9,0.25,35.0,0.9986,200.0,3.04,7.3,13.1,0.46,7.0
1401,9.3,0.67,57.0,0.9979,222.0,3.17,6.3,12.6,0.52,6.0
1402,11.1,0.4,31.0,0.994,122.0,3.3,7.4,5.4,0.5,8.0
1403,10.9,0.26,29.0,0.9937,128.0,3.34,7.1,2.2,0.64,8.0
1404,11.6,0.31,11.0,0.9938,73.0,2.9,9.0,6.6,0.38,5.0
1405,10.2,0.39,9.0,0.9942,117.0,3.15,6.3,6.9,0.35,4.0
1406,10.5,0.22,12.0,0.9944,90.0,3.01,8.2,6.8,0.38,8.0
1407,11.4,0.19,16.0,0.993,78.0,2.91,7.1,3.6,0.78,6.0
1408,8.9,0.25,35.0,0.9986,200.0,3.04,7.3,13.1,0.46,7.0
1409,10.6,0.2,29.0,0.9932,118.0,3.14,7.9,1.2,0.41,6.0
1410,11.6,0.26,39.0,0.9934,97.0,3.31,7.1,5.9,0.4,6.0
1411,11.5,0.2,32.0,0.9928,83.0,3.19,7.0,5.7,0.46,6.0
1412,12.3,0.3,26.0,0.9925,155.0,3.25,6.9,4.1,0.79,8.0
1413,10.8,0.29,22.0,0.9944,124.0,3.14,8.1,7.1,0.41,6.0
1414,11.3,0.17,55.0,0.9909,130.0,3.29,5.8,1.4,0.38,6.0
1415,9.3,0.415,22.0,0.9932,63.0,3.36,5.9,0.8,0.36,5.0
1416,10.0,0.23,16.0,0.9934,128.0,3.36,6.6,1.3,0.6,6.0
1418,10.2,0.35,18.0,0.992,132.0,3.13,6.9,1.0,0.55,5.0
1419,10.8,0.14,27.0,0.9916,103.0,3.07,7.6,1.6,0.4,7.0
1420,10.1,0.28,29.0,0.998,137.0,3.1,9.2,11.8,0.34,4.0
1421,11.6,0.18,17.0,0.9919,90.0,3.27,6.2,4.5,0.37,6.0
1422,9.1,0.165,25.0,0.9925,105.0,3.32,5.3,1.1,0.47,5.0
1423,10.0,0.25,36.0,0.9977,225.0,3.06,9.8,10.0,0.43,4.0
1424,10.8,0.29,22.0,0.9944,124.0,3.14,8.1,7.1,0.41,6.0
1425,11.4,0.22,26.0,0.991,128.0,3.25,6.8,0.9,0.35,6.0
1426,12.7,0.22,34.0,0.99,140.0,3.05,7.2,1.0,0.34,6.0
1427,11.3,0.25,35.0,0.9917,156.0,3.13,7.4,1.1,0.55,5.0
1428,10.4,0.18,28.0,0.9923,81.0,3.0,8.2,1.1,0.68,7.0
1429,9.6,0.22,18.0,0.9928,87.0,3.3,6.1,1.5,0.46,5.0
1430,10.1,0.39,8.0,0.9923,119.0,3.0,7.0,1.0,0.31,4.0
1431,9.6,0.22,18.0,0.9928,87.0,3.3,6.1,1.5,0.46,5.0
1432,12.1,0.36,16.0,0.9902,94.0,3.1,6.5,2.9,0.49,7.0
1433,12.2,0.29,32.0,0.9893,99.0,3.07,7.1,1.2,0.33,6.0
1434,11.3,0.25,35.0,0.9917,156.0,3.13,7.4,1.1,0.55,5.0
1435,9.6,0.23,19.0,0.9982,94.0,3.17,6.9,14.2,0.5,5.0
1436,9.2,0.56,51.0,1.0005,243.0,2.99,8.5,17.85,0.7,5.0
1437,10.4,0.18,28.0,0.9923,81.0,3.0,8.2,1.1,0.68,7.0
1438,9.5,0.23,67.0,0.9951,210.0,3.23,6.3,7.1,0.34,5.0
1439,8.9,0.25,67.0,0.9956,226.0,3.16,6.1,7.6,0.47,5.0
1440,8.8,0.26,56.0,0.998,162.0,3.03,7.2,13.6,0.44,5.0
1441,10.5,0.31,17.0,0.9928,117.0,3.16,7.2,1.4,0.35,5.0
1442,9.4,0.25,27.0,0.9938,117.0,3.08,8.0,1.2,0.34,5.0
1443,12.2,0.18,34.0,0.9914,125.0,3.24,7.0,5.3,0.4,6.0
1444,11.3,0.43,37.0,0.9955,158.0,3.14,7.8,13.0,0.35,6.0
1445,12.2,0.2,33.0,0.9924,130.0,3.25,8.3,4.45,0.42,6.0
1446,12.2,0.27,35.0,0.9911,92.0,3.38,6.3,1.2,0.42,6.0
1447,11.2,0.16,18.0,0.9917,150.0,3.23,7.4,1.2,0.47,6.0
1448,11.2,0.16,18.0,0.9917,150.0,3.23,7.4,1.2,0.47,6.0
1449,11.5,0.19,49.0,0.9932,172.0,3.2,6.9,6.6,0.27,6.0
1450,11.3,0.43,37.0,0.9955,158.0,3.14,7.8,13.0,0.35,6.0
1451,9.3,0.4,11.0,0.9929,138.0,3.01,7.2,1.1,0.42,5.0
1452,11.3,0.43,37.0,0.9955,158.0,3.14,7.8,13.0,0.35,6.0
1453,11.8,0.52,37.0,0.9958,156.0,3.14,7.6,14.0,0.38,7.0
1454,9.2,0.21,50.0,1.0012,231.0,2.99,8.3,19.8,0.54,5.0
1455,9.2,0.34,44.0,0.9968,150.0,3.0,6.9,11.2,0.81,5.0
1456,12.2,0.27,35.0,0.9911,92.0,3.38,6.3,1.2,0.42,6.0
1457,12.2,0.2,33.0,0.9924,130.0,3.25,8.3,4.45,0.42,6.0
1458,12.2,0.22,42.0,0.991,144.0,3.31,7.1,2.7,0.41,6.0
1459,10.6,0.11,27.0,0.9946,133.0,3.24,7.9,4.5,0.42,6.0
1460,12.4,0.17,29.0,0.9928,128.0,3.28,8.5,3.6,0.4,6.0
1461,10.8,0.145,54.0,0.9946,164.0,3.56,6.4,5.4,0.44,6.0
1462,11.2,0.16,18.0,0.9917,150.0,3.23,7.4,1.2,0.47,6.0
1463,11.0,0.19,11.0,0.9918,137.0,3.06,8.3,1.2,0.46,6.0
1464,12.7,0.44,46.0,0.9926,151.0,3.16,8.0,9.1,0.27,8.0
1465,10.2,0.2,19.0,0.9931,163.0,3.46,7.0,0.8,0.53,5.0
1466,11.5,0.19,49.0,0.9932,172.0,3.2,6.9,6.6,0.27,6.0
1467,12.3,0.25,30.0,0.9903,96.0,3.13,7.1,3.0,0.39,7.0
1468,9.8,0.24,15.0,0.9928,60.0,3.19,6.5,1.6,0.39,5.0
1469,9.3,0.4,11.0,0.9929,138.0,3.01,7.2,1.1,0.42,5.0
1470,11.8,0.52,37.0,0.9958,156.0,3.14,7.6,14.0,0.38,7.0
1471,11.3,0.43,37.0,0.9955,158.0,3.14,7.8,13.0,0.35,6.0
1472,11.4,0.21,6.0,0.9911,48.0,3.15,7.8,1.35,0.28,5.0
1473,10.8,0.2,39.0,0.9938,128.0,3.21,7.0,5.9,0.48,6.0
1474,9.5,0.25,13.0,0.9942,85.0,2.99,6.9,3.6,0.48,4.0
1475,10.2,0.08,18.0,0.9945,148.0,3.46,7.2,1.3,0.44,6.0
1476,10.7,0.85,40.0,0.9962,184.0,3.22,7.1,8.7,0.36,5.0
1477,10.8,0.51,10.0,0.992,104.0,3.05,7.6,1.2,0.29,6.0
1478,11.5,0.22,39.0,0.9927,159.0,2.99,7.9,4.6,0.28,6.0
1479,10.7,0.16,20.0,0.9948,124.0,3.32,7.7,2.0,0.49,6.0
1480,10.2,0.08,18.0,0.9945,148.0,3.46,7.2,1.3,0.44,6.0
1481,10.1,0.25,26.0,0.9942,124.0,3.37,6.6,1.7,0.6,6.0
1482,10.4,0.16,57.0,0.9952,187.0,3.62,6.7,2.4,0.81,6.0
1483,9.5,0.25,13.0,0.9942,85.0,2.99,6.9,3.6,0.48,4.0
1484,9.1,0.32,8.0,0.9958,134.0,3.14,7.5,4.6,0.5,3.0
1485,10.6,0.28,20.0,0.9918,126.0,2.98,7.4,1.5,0.39,6.0
1486,9.4,0.15,17.0,0.9932,51.0,3.3,6.2,0.9,0.7,6.0
1487,9.8,0.25,44.0,1.0004,169.0,3.51,6.7,19.4,0.45,6.0
1488,9.5,0.26,68.0,0.9972,224.0,3.18,6.5,13.3,0.54,6.0
1489,9.3,0.16,52.0,0.9998,187.0,2.99,7.9,17.85,0.41,5.0
1490,10.3,0.185,28.0,0.9918,117.0,3.55,5.6,1.1,0.45,6.0
1491,11.1,0.2,8.0,0.9918,97.0,3.06,7.5,1.3,0.62,5.0
1492,10.0,0.3,47.0,0.9964,188.0,3.14,8.0,9.4,0.48,5.0
1493,12.3,0.34,39.0,0.9936,180.0,3.13,8.0,9.0,0.38,8.0
1494,12.4,0.35,42.0,0.9931,186.0,3.14,7.7,8.65,0.38,8.0
1495,12.3,0.29,45.0,0.9938,197.0,3.13,7.6,9.6,0.38,7.0
1496,10.4,0.62,6.0,0.9934,62.0,3.41,6.7,1.1,0.32,5.0
1497,12.1,0.27,35.0,0.99,126.0,3.13,6.8,1.2,0.48,7.0
1498,12.5,0.27,23.0,0.9914,86.0,3.16,7.7,1.8,0.42,6.0
1499,13.0,0.51,14.0,0.9904,155.0,3.22,6.7,2.1,0.6,6.0
1500,11.0,0.19,26.0,0.994,132.0,2.99,7.4,9.3,0.32,7.0
1501,10.1,0.2,34.0,0.9938,169.0,3.05,8.3,1.7,0.37,5.0
